size,read-start,read-end,time,block-time
32768,0.396808280,0.396929552,0.000121272,0.000015159
65536,0.396932944,0.397105448,0.000172504,0.000010782
131072,0.397109112,0.397404248,0.000295136,0.000009223
262144,0.397407200,0.397988488,0.000581288,0.000009083
524288,0.397991968,0.399157680,0.001165712,0.000009107
1048576,0.399161336,0.401464248,0.002302912,0.000008996
2097152,0.401467736,0.406042864,0.004575128,0.000008936
4096,0.406047184,0.406117456,0.000070272,0.000070272
8192,0.406123040,0.406223512,0.000100472,0.000050236
16384,0.406228256,0.406324184,0.000095928,0.000023982
32768,0.406328984,0.406479736,0.000150752,0.000018844
65536,0.406483456,0.406685024,0.000201568,0.000012598
131072,0.406688744,0.406989464,0.000300720,0.000009398
262144,0.406992584,0.407574792,0.000582208,0.000009097
524288,0.407577976,0.408740192,0.001162216,0.000009080
1048576,0.408744248,0.411071552,0.002327304,0.000009091
2097152,0.411075216,0.415371728,0.004296512,0.000008392
4096,0.415376544,0.415445336,0.000068792,0.000068792
8192,0.415450264,0.415616352,0.000166088,0.000083044
16384,0.415619912,0.415745712,0.000125800,0.000031450
32768,0.415750344,0.415876648,0.000126304,0.000015788
65536,0.415881200,0.416094848,0.000213648,0.000013353
131072,0.416099488,0.416396936,0.000297448,0.000009295
262144,0.416400480,0.416984648,0.000584168,0.000009128
524288,0.416988800,0.418130712,0.001141912,0.000008921
1048576,0.418134840,0.420404840,0.002270000,0.000008867
2097152,0.420408856,0.425063048,0.004654192,0.000009090
4096,0.425067624,0.425141864,0.000074240,0.000074240
8192,0.425147072,0.425245752,0.000098680,0.000049340
16384,0.425250368,0.425344456,0.000094088,0.000023522
32768,0.425349080,0.425486328,0.000137248,0.000017156
65536,0.425490440,0.425690232,0.000199792,0.000012487
131072,0.425695008,0.426013416,0.000318408,0.000009950
262144,0.426017792,0.426611168,0.000593376,0.000009271
524288,0.426614760,0.427756344,0.001141584,0.000008919
1048576,0.427760768,0.430034960,0.002274192,0.000008884
2097152,0.430038896,0.434497416,0.004458520,0.000008708
4096,0.434500848,0.434565816,0.000064968,0.000064968
8192,0.434570240,0.434677128,0.000106888,0.000053444
16384,0.434681440,0.434807408,0.000125968,0.000031492
32768,0.434811072,0.434938032,0.000126960,0.000015870
65536,0.434941520,0.435115080,0.000173560,0.000010847
131072,0.435117992,0.435413872,0.000295880,0.000009246
262144,0.435417472,0.435993872,0.000576400,0.000009006
524288,0.435998320,0.437095208,0.001096888,0.000008569
1048576,0.437098648,0.439420952,0.002322304,0.000009071
2097152,0.439425456,0.443941568,0.004516112,0.000008821
4096,0.443945992,0.444011264,0.000065272,0.000065272
8192,0.444015728,0.444112296,0.000096568,0.000048284
16384,0.444116544,0.444210168,0.000093624,0.000023406
32768,0.444212968,0.444480568,0.000267600,0.000033450
65536,0.444484584,0.444674992,0.000190408,0.000011900
131072,0.444678944,0.444970856,0.000291912,0.000009122
262144,0.444975536,0.445633208,0.000657672,0.000010276
524288,0.445637416,0.446800704,0.001163288,0.000009088
1048576,0.446804472,0.449076712,0.002272240,0.000008876
2097152,0.449081080,0.453621336,0.004540256,0.000008868
4096,0.453625800,0.453698120,0.000072320,0.000072320
8192,0.453703352,0.453798512,0.000095160,0.000047580
16384,0.453802896,0.453897808,0.000094912,0.000023728
32768,0.453900512,0.454013760,0.000113248,0.000014156
65536,0.454018400,0.454209008,0.000190608,0.000011913
131072,0.454213000,0.454505288,0.000292288,0.000009134
262144,0.454509560,0.455104200,0.000594640,0.000009291
524288,0.455107640,0.456286496,0.001178856,0.000009210
1048576,0.456291368,0.458583936,0.002292568,0.000008955
2097152,0.458588176,0.463087216,0.004499040,0.000008787
4096,0.463090928,0.463157224,0.000066296,0.000066296
8192,0.463162080,0.463258312,0.000096232,0.000048116
16384,0.463262512,0.463355752,0.000093240,0.000023310
32768,0.463358912,0.463470448,0.000111536,0.000013942
65536,0.463474728,0.463663704,0.000188976,0.000011811
131072,0.463667816,0.464093152,0.000425336,0.000013292
262144,0.464096608,0.464682392,0.000585784,0.000009153
524288,0.464685928,0.465904728,0.001218800,0.000009522
1048576,0.465909288,0.468208272,0.002298984,0.000008980
2097152,0.468212248,0.472757656,0.004545408,0.000008878
4096,0.472762088,0.472848856,0.000086768,0.000086768
8192,0.472853752,0.472934296,0.000080544,0.000040272
16384,0.472937048,0.473026952,0.000089904,0.000022476
32768,0.473031704,0.473171520,0.000139816,0.000017477
